system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\usuario\Desktop\AirWar\Airwar++\bin\
display  D   display_settings.c:191  debug_display_settings           [   0.01542] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01544] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01546] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01550] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01554] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01556] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01558] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01560] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01562] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01564] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01566] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01568] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01570] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01576] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01578] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01580] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01582] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01584] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01586] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01588] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01590] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01592] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01594] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.01599] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.01624] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.01630] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.03885] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.04570] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.04575] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.04579] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.04583] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.04585] Returning d3d_display: 00A52AA0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.04587] al_display=00A52AA0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.04588] al_display->vt=00A0ADA0
dtor     D               dtor.c:184  _al_register_destructor          [   0.05329] added dtor for object 00A17B68, func 0F361F37
dtor     D               dtor.c:184  _al_register_destructor          [   0.05335] added dtor for object 00A52980, func 0F36220C
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.84141] removed dtor for object 00A52980
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  13.84183] destroying display 00A52AA0 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  13.84242] waiting for display 00A52AA0's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  13.86940] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  13.87541] d3d display thread exits
dtor     D               dtor.c:114  _al_run_destructors              [  13.87650] calling dtor for object 00A17B68, func 0F361F37
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.88750] removed dtor for object 00A17B68
